symbol,side,entry_time,exit_time,entry_price,exit_price,qty,pnl,pnl_rel,bars_held
OZON,1,2022-01-10 10:20:00+00:00,2022-01-10 18:20:00+00:00,2085.0,2004.0,317.6592073266758,-25730.395793460742,-0.027194244604316548,48
OZON,1,2022-01-12 10:10:00+00:00,2022-01-12 18:10:00+00:00,2060.0,2089.5,312.77095641781386,9226.743214325508,0.010024271844660194,48
OZON,1,2022-01-12 23:30:00+00:00,2022-01-13 07:30:00+00:00,2070.5,2073.0,314.3042214299562,785.7605535748905,0.0008452064718666987,48
OZON,1,2022-01-13 10:30:00+00:00,2022-01-13 18:30:00+00:00,2067.5,1960.0,315.0263230269538,-33865.32972539753,-0.03639661426844015,48
OZON,1,2022-01-14 11:20:00+00:00,2022-01-14 19:20:00+00:00,1865.5,1750.5,336.430550549691,-38689.51331321447,-0.043151969981238276,48
OZON,1,2022-01-26 10:30:00+00:00,2022-01-26 18:30:00+00:00,1345.5,1398.5,446.3236958240048,23655.155878672256,0.0275733927907841,48
OZON,1,2022-01-28 14:00:00+00:00,2022-01-28 22:00:00+00:00,1467.0,1387.0,420.64563179704777,-33651.65054376382,-0.038173142467621,48
OZON,1,2022-02-02 11:20:00+00:00,2022-02-02 19:20:00+00:00,1650.5,1658.0,359.6067776223171,2697.0508321673783,0.0031808542865798244,48
OZON,1,2022-02-07 10:10:00+00:00,2022-02-07 18:10:00+00:00,1538.0,1514.0,387.13844086355755,-9291.32258072538,-0.010923276983094928,48
OZON,1,2022-02-09 17:40:00+00:00,2022-02-10 06:50:00+00:00,1637.5,1665.0,359.6427457964237,9890.175509401652,0.011755725190839696,79
OZON,1,2022-02-10 11:40:00+00:00,2022-02-10 19:40:00+00:00,1638.0,1655.5,363.7595354690018,6365.791870707531,0.00747863247863248,48
OZON,1,2022-02-11 10:10:00+00:00,2022-02-11 18:10:00+00:00,1609.0,1565.5,373.08525382704795,-16229.208541476586,-0.018924798011187075,48
OZON,1,2022-02-18 10:10:00+00:00,2022-02-18 18:10:00+00:00,1602.0,1473.5,367.6240495809529,-47239.69037115244,-0.05614856429463171,48
OZON,1,2022-04-08 13:10:00+00:00,2022-04-11 09:50:00+00:00,1221.0,1177.0,455.254663528976,-20031.205195274943,-0.02522522522522522,412
